Chrom.1,
UV,
ml,mAU
0.003296,21.525475
0.029968,3.564758
0.05661,-0.025045
0.083252,-0.023814
0.109894,-0.019019
0.136536,-0.01903
0.163177,-0.021401
0.189819,-0.02373
0.216461,-0.019954
0.243103,-0.018928
0.269745,-0.021794
0.296417,-0.025465
0.323059,-0.02101
0.349701,-0.017984
0.376343,-0.01705
0.402985,-0.020182
0.429626,-0.021537
0.456268,-0.019588
0.48291,-0.019271
0.509552,-0.011824
0.536194,-0.006689
0.562836,0.001025
0.589508,0.008632
0.61615,0.01577
0.642792,0.018868
0.669434,0.018052
0.696075,0.018524
0.722717,0.018441
0.749359,0.021397
0.776001,0.028622
0.802643,0.039105
0.829285,0.054962
0.855957,0.068819
0.882599,0.08775
0.909241,0.104595
0.935883,0.116705
0.962524,0.130706
0.989166,0.140843
1.015808,0.148988
1.04245,0.153865
1.069092,0.155377
1.095734,0.157263
1.122375,0.15662
1.149048,0.154673
1.17569,0.15327
1.202332,0.149304
1.228973,0.142938
1.255615,0.138727
1.282257,0.131902
1.308899,0.127029
1.335541,0.120004
1.362183,0.115295
1.388824,0.110604
1.415497,0.107484
1.442139,0.104975
1.468781,0.101557
1.495422,0.098664
1.522064,0.09415
1.548706,0.090999
1.575348,0.087359
1.60199,0.085463
1.628632,0.084718
1.655273,0.082897
1.681915,0.082534
1.708588,0.082665
1.735229,0.083294
1.761871,0.082886
1.788513,0.080448
1.815155,0.080481
1.841797,0.077605
1.868439,0.08012
1.895081,0.0786
1.921722,0.076803
1.948364,0.0757
1.975037,0.076547
2.001678,0.075533
2.02832,0.073898
2.054962,0.073017
2.081604,0.072385
2.108246,0.076125
2.134888,0.073724
2.16153,0.073424
2.188171,0.07179
2.214813,0.069922
2.241455,0.069504
2.268127,0.067951
2.294769,0.067792
2.321411,0.070747
2.348053,0.069073
2.374695,0.071999
2.401337,0.070332
2.427979,0.071365
2.45462,0.071531
2.481262,0.069953
2.507904,0.071597
2.534576,0.069847
2.561218,0.071839
2.58786,0.072213
2.614502,0.070486
2.641144,0.068131
2.667786,0.068784
2.694427,0.068325
2.721069,0.069143
2.747711,0.066082
2.774353,0.066352
2.800995,0.066141
2.827667,0.065718
2.854309,0.068904
2.880951,0.068262
